filename,title,description,tags,niche
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_002_nobg.png,Kawaii Corgi Coding Sticker,"Adorable kawaii corgi lovers will adore this cute sticker art! Featuring a chibi-style corgi with a mechanical keyboard, this pastel-colored design is perfect for coding enthusiasts and gift-giving. Get this high-quality sticker for your laptop, water bottle, or anywhere you need a touch of digital cuteness!","corgi, coding, kawaii, sticker, mechanical keyboard, chibi, pastel, cute, animal, digital art, graphic design, isolated, sticker art, white background, gift",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_009_nobg.png,Coding Duck Sticker - Cute Tech Design,"This adorable cartoon rubber duck is the perfect sticker for any coding enthusiast! Featuring a cute character coding with headphones, this vibrant flat illustration is ideal for tech lovers and programmers.  Get your coding duck sticker today!","coding, programmer, rubber duck, duck, cartoon, tech, developer, sticker, illustration, flat design, cute, digital art, programmer gift, tech gift, computer",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_001_nobg.png,Coding Penguin Chibi Sticker,"This adorable chibi penguin sticker is perfect for any coding enthusiast! Featuring a playful kawaii illustration with bold outlines, it’s a cute and eye-catching design for laptops, water bottles, and more. Get your coding penguin today!","coding, penguin, chibi, kawaii, sticker, illustration, programming, cute, digital art, vector, isolated, white background, mascot, graphic design, programmer",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_006_nobg.png,Coding Duck Sticker - Cute Rubber Duck,"This adorable coding duck is the perfect sticker for any tech enthusiast! Featuring a kawaii style with headphones and bold outlines, this cute illustration captures the essence of debugging with a touch of humor. Get yours today and show your love for coding!","coding, programmer, rubber duck, duck, kawaii, sticker, cartoon, illustration, cute, headphones, developer, tech, digital art, graphic design, programmer gift",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_007_nobg.png,Cute Coding Cat Sticker,"This adorable cartoon cat is the perfect sticker for any coding enthusiast! Featuring a vibrant flat illustration style and bold outlines, this cute design is ideal for laptops, water bottles, and more. Bring some personality to your tech setup with this high-quality coding cat sticker!","coding, cat, programmer, keyboard, sticker, cartoon, cute, illustration, flat design, digital art, graphic design, isolated, vector, adorable, tech",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_005_nobg.png,Cute Coding Dino Sticker - Chibi Mascot,"This adorable chibi dinosaur is the perfect sticker for any coding enthusiast! Featuring a playful, kawaii illustration with bold outlines, it's a fun and unique way to show your love for programming. Perfect for laptops, water bottles, or anywhere you need a little dino-mite inspiration.","coding, dinosaur, chibi, kawaii, sticker, illustration, mascot, programmer, tech, cute, digital art, vector, isolated, white background, gaming",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_008_nobg.png,Coding Fox - Kawaii Illustration,"This adorable kawaii fox illustration is perfect for any coding enthusiast! Featuring multiple monitors and a bold, expressive design, it's a fun and unique way to show your love for programming. A great sticker or print for tech lovers and digital artists alike.","coding, fox, programmer, kawaii, cute, cartoon, illustration, digital art, monitor, computer, sticker, geek, tech, graphic design, redbubble",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_010_nobg.png,Cute Coding Frog Debugging Sticker,"This adorable frog is debugging code in a cute and charming art style! Perfect for programmers, tech lovers, or anyone who appreciates a fun and quirky sticker. Get this cute coding frog sticker today!","coding, programmer, frog, debugging, sticker, cute, art, digital art, programmer frog, code, cute frog, isolated, high quality, sticker design, programmer art",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_003_nobg.png,Kawaii Coding Frog Sticker,"This adorable kawaii frog sticker is perfect for programmers and tech lovers! Featuring a chibi style illustration with pastel colors and bold outlines, it's a fun and unique way to show your passion for coding and debugging. Get this high-quality sticker for your laptop, water bottle, or anywhere you need a touch of cute coding inspiration.","coding, programmer, frog, kawaii, sticker, chibi, pastel, cute, debugging, code, illustration, digital art, graphic design, isolated, art",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/coding/coding_004_nobg.png,Kawaii Robot Coffee Sticker,"This adorable kawaii robot loves its coffee! Perfect for laptop stickers, water bottles, or any space needing a touch of cute robot charm. Featuring a chibi style with pastel colors and bold outlines, this high-quality sticker is a delightful addition to any tech lover's collection.","robot, kawaii, cute, chibi, pastel, coffee, sticker, illustration, digital art, robot art, chibi robot, pastel colors, sticker design, isolated, gift",coding
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_012_nobg.png,Cute Fat Cat Zoomies Chibi,"This adorable chibi-style cartoon cat is caught mid-zoomies at 3am! Perfect for cat lovers who appreciate a cute and expressive design, this sticker features a bold outline and a clean white background, ideal for any surface. Get ready for a burst of feline energy!","cat, cats, chibi, cartoon, cute, adorable, zoomies, sleepy cat, night cat, white background, sticker, isolated, expression, vector art, 3am",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_014_nobg.png,Cute Chonky Cat Crown Sticker,"This adorable sticker features a cute, chubby cat wearing a majestic golden crown – perfect for any cat lover!  Ideal for laptops, water bottles, or notebooks, this kawaii illustration offers a charming and high-quality design.  Get your hands on this delightful chonky cat sticker today!","cat, kitten, chonky, kawaii, cute, adorable, illustration, sticker, animal, pet, golden, crown, character, isolated, white background",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_015_nobg.png,Cute Chonky Cat Space Helmet,"This adorable illustration features a cute chonky cat wearing a space helmet – perfect for space lovers and cat enthusiasts!  This kawaii sticker art design is ideal for decorating laptops, water bottles, or anything you want to add a touch of charming feline space exploration to.  Get your print-on-demand cat space helmet design today!","cat, space, helmet, kawaii, cute, chonky, illustration, adorable, character, sticker, art, isolated, white background, digital art, pet",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_020_nobg.png,Cute Chonky Cat Flower Crown Sticker,"This adorable illustration features a cute, chonky cat wearing a beautiful flower crown – perfect for adding a touch of kawaii charm to your belongings.  Ideal for sticker lovers and cat enthusiasts, this high-quality design offers a clean and centered composition for a delightful addition to any collection.","cat, kitten, chonky, kawaii, floral, flower crown, sticker, illustration, adorable, cute, animal, pet, cartoon, white background, sticker art",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_017_nobg.png,Cute Fat Cat Sticker - Chibi Judgement,"This adorable chibi cat sticker captures the hilarious moment of a chubby feline judging from a high shelf! Perfect for cat lovers, this cute cartoon design features bold outlines and a clean white background, making it a fantastic sticker for water bottles, laptops, and more.  Get your paws on this charming, isolated artwork!","cat, chibi, sticker, cute, cartoon, animal, pet, adorable, judging, high shelf, white background, isolated, expression, vector, design",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_013_nobg.png,Funny Cat Ignoring Everyone - Kawaii Sticker,"This adorable kawaii cat illustration is perfect for any cat lover! Featuring a funny, ignoring cat with bold outlines and chibi proportions, it's a charming sticker design for your laptop, water bottle, or anything you want to brighten up.  Get ready to show off your love for these independent feline friends!","cat, cats, funny, kawaii, cartoon, illustration, cute, chibi, sticker, animal, pet, isolated, white background, vector, design",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_018_nobg.png,Cute Chonky Cat Bowtie Sticker,"This adorable sticker features a cute, chonky cat sporting a fancy bowtie! Perfect for decorating laptops, water bottles, or notebooks, this high-quality cartoon illustration is a delightful addition to any cat lover's collection. Get your paws on this charming sticker today!","cat, chunky cat, bowtie, sticker, cartoon, illustration, adorable, animal, pet, cute, kawaii, character design, isolated, white background, gift",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_019_nobg.png,Cute Ignoring Cat Sticker,"This adorable kawaii cat illustration is perfect for any cat lover! Featuring a charming chibi design with bold outlines, this cute sticker captures the hilarious moment when your feline friend ignores everyone.  Ideal for decorating laptops, water bottles, and more, this high-quality design showcases a truly expressive and isolated character.","cat, kitten, kawaii, cartoon, chibi, funny, pet, illustration, sticker, cute, isolated, animal, digital art, white background, expression",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_016_nobg.png,Cute Cat in Tiny Box - Sticker,"This adorable kawaii cat illustration is perfect for any cat lover! Featuring a charming chibi character sitting in a tiny box, this sticker design is ideal for decorating laptops, water bottles, and more.  Bring a touch of cuteness to your life with this high-quality, isolated sticker.","cat, kitten, kawaii, cartoon, chibi, cute, adorable, sticker, illustration, animal, pet, funny, isolated, white background, chibi cat",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/cats/cats_011_nobg.png,Cute Chonky Cat Glasses Sticker,"This adorable illustration features a cute chonky cat sporting round glasses – the perfect kawaii sticker for any cat lover!  Ideal for decorating laptops, water bottles, or notebooks, this high-quality sticker design captures the charm of this lovable character.  Get your slice of feline cuteness today!","cat, chunky cat, kawaii, glasses, sticker, illustration, adorable, animal, pet, cute, character, digital art, isolated, white background, sticker art",cats
/home/bernardogv/projects/pod-designs/output/2026-02-11/nature/nature_025_nobg.png,Cute Red Panda Cabin Sticker,"Bring a touch of adorable wilderness with this cute red panda sticker! Featuring a chibi-style red panda nestled in a snowy cabin, this high-quality illustration is perfect for decorating laptops, water bottles, or anything you desire. Ideal for nature lovers and sticker enthusiasts!","red panda, animal, cute, snowy, cabin, illustration, sticker, chibi, adorable, nature, wildlife, isolated, white background, design, gift",nature
/home/bernardogv/projects/pod-designs/output/2026-02-11/nature/nature_024_nobg.png,Cute Rabbit Sticker - Garden Chibi,"This adorable chibi rabbit illustration is perfect for adding a touch of whimsy to your belongings! Featuring a charming garden scene and a clean, white background, this high-quality sticker design is ideal for water bottles, laptops, and more.  Get this cute rabbit character today!","rabbit, chibi, sticker, garden, cute, animal, cartoon, illustration, white, isolated, character, digital art, adorable, garden sticker, chibi rabbit",nature
